3,0,3,50,9.069460509,5.061161897
3,1,1,5,8.014701195,4.925247532
3,1,4,1,7.835102979,4.33936051
3,1,4,20,8.548710187,5.046250314
4,0,2,1,6.713324647,4.726992878
4,0,4,20,7.958239493,5.096536076
4,1,1,5,7.513411787,5.031031867
4,1,2,10,7.782709969,5.080357077
4,1,3,10,7.782709969,5.08035737
5,0,3,100,9.702370112,5.117968127
5,1,1,100,9.766851864,5.117965171
5,1,2,100,9.766851864,5.117965171
5,1,3,100,9.766851864,5.117965171
5,1,4,100,9.766851864,5.117965171
6,0,2,10,7.162582668,5.102447958
6,0,3,1,6.24014257,4.894785504
6,0,4,100,9.682815552,5.121427207
6,1,1,100,9.740247934,5.121424796
6,1,2,5,7.121688916,5.0697917
6,1,2,100,9.740247934,5.121424796
6,1,3,100,9.740247934,5.121424796
6,1,4,2,6.867241668,4.983829961
6,1,4,100,9.740247934,5.121424796
7,0,1,1,6.144515496,4.923426501
7,0,1,50,8.780969477,5.120554394
7,0,1,100,9.672985692,5.123159887
7,0,2,50,8.780969477,5.120554394
7,1,1,20,7.937150152,5.112800375
7,1,1,100,9.726829514,5.123157473
7,1,2,100,9.726829514,5.123157473
7,1,3,5,7.04617453,5.07314603
7,1,3,100,9.726829514,5.123157473
