3,0,1,2,7.353605591,4.718020678
3,0,1,5,7.540786742,4.946184483
3,0,4,5,7.540786742,4.946186618
3,1,3,50,9.251482411,5.059483872
4,0,2,10,7.429866991,5.085422986
4,0,3,10,7.429866991,5.085429403
4,1,4,1,7.254650728,4.68779634
4,1,4,2,7.32378437,4.892895336
4,1,4,50,9.037629313,5.100760951
5,1,1,5,7.263907648,5.057963691
6,0,1,20,7.772288178,5.11366646
6,0,2,1,6.24014257,4.894785504
6,0,2,100,9.682815552,5.121427207
6,1,1,100,9.740247934,5.121424796
6,1,2,1,6.771370616,4.850979895
6,1,2,20,7.978390142,5.111081381
6,1,2,100,9.740247934,5.121424796
6,1,3,100,9.740247934,5.121424796
6,1,4,2,6.867241668,4.983829961
6,1,4,100,9.740247934,5.121424796
7,0,1,50,8.780969477,5.120554394
7,0,2,10,7.113783832,5.104157682
7,1,1,100,9.726829514,5.123157473
7,1,2,100,9.726829514,5.123157473
7,1,3,2,6.775695869,4.998378999
7,1,3,100,9.726829514,5.123157473
