1.0,1.0,10.0,5481.0,1.9006
1.0,2.0,1.0,5698.4,1.8184
1.0,2.0,2.0,5801.6,1.7259
1.0,2.0,12.0,5577.5,1.8543
1.0,3.0,15.0,6513.8,1.5659
10.0,1.0,2.0,30487.0,3.2351
10.0,2.0,7.0,31642.0,3.2213
10.0,2.0,8.0,31045.0,3.2466
10.0,3.0,7.0,30044.0,3.3138
10.0,4.0,5.0,30406.0,3.3592
100.0,1.0,10.0,53349.0,18.9
100.0,1.0,11.0,55611.0,17.024
100.0,1.0,13.0,54443.0,17.328
100.0,2.0,11.0,57860.0,16.393
100.0,2.0,12.0,54774.0,17.333
100.0,2.0,13.0,57293.0,15.94
100.0,2.0,14.0,55727.0,18.091
100.0,3.0,6.0,52614.0,19.297
100.0,4.0,15.0,52719.0,19.139
100.0,5.0,15.0,52117.0,19.199
1000.0,1.0,13.0,67571.0,146.65
1000.0,1.0,14.0,67553.0,140.5
1000.0,1.0,16.0,70644.0,142.51
1000.0,2.0,8.0,49891.0,206.25
1000.0,2.0,12.0,62880.0,143.2
1000.0,2.0,17.0,69097.0,127.68
1000.0,6.0,15.0,49308.0,170.22
10000.0,1.0,12.0,62552.0,1539.4
10000.0,2.0,18.0,77751.0,1186.4
10000.0,3.0,5.0,52020.0,816.86
10000.0,5.0,9.0,54385.0,760.35
100000.0,1.0,18.0,66943.0,14608.0
100000.0,3.0,5.0,50951.0,825.53
100000.0,6.0,6.0,43286.0,570.68
1000000.0,1.0,12.0,85232.0,40805.0
1000000.0,1.0,15.0,85140.0,40213.0
1000000.0,2.0,16.0,69749.0,309.65
1000000.0,5.0,8.0,53027.0,895.41
