1.0,2.0,9.0,4369.6,2.4306
1.0,3.0,9.0,4786.9,2.1468
1.0,6.0,9.0,4891.9,2.1503
1.0,6.0,12.0,4871.0,2.2277
10.0,1.0,3.0,12697.0,9.2121
10.0,1.0,12.0,15374.0,7.1335
10.0,3.0,9.0,17161.0,6.5827
10.0,6.0,1.0,7524.2,13.959
10.0,6.0,9.0,20066.0,5.0202
10.0,6.0,12.0,19528.0,4.9185
10.0,6.0,15.0,19157.0,5.0006
10.0,6.0,18.0,18380.0,5.0711
100.0,1.0,1.0,8511.2,135.2
100.0,1.0,18.0,20121.0,56.687
100.0,2.0,15.0,25948.0,46.001
100.0,3.0,12.0,20821.0,56.731
100.0,3.0,15.0,23240.0,51.463
100.0,3.0,18.0,21234.0,53.927
100.0,6.0,3.0,20359.0,55.501
100.0,6.0,9.0,23142.0,37.915
100.0,6.0,12.0,24892.0,41.478
100.0,6.0,15.0,23675.0,32.286
100.0,6.0,18.0,22884.0,33.092
1000.0,2.0,18.0,32815.0,341.28
1000.0,3.0,3.0,19036.0,595.91
10000.0,2.0,18.0,31933.0,3296.5
100000.0,2.0,9.0,30669.0,27780.0
100000.0,3.0,3.0,17911.0,1806.9
100000.0,6.0,1.0,31179.0,6540.8
1000000.0,1.0,3.0,51949.0,53632.0
1000000.0,1.0,15.0,44024.0,74403.0
1000000.0,3.0,1.0,26988.0,32624.0
1000000.0,3.0,12.0,20081.0,1764.9
1000000.0,6.0,9.0,26987.0,1218.0
1000000.0,6.0,18.0,26933.0,979.55
