1,1,3,2,3,10,1681.6,6.0442
1,2,3,6,6,1000,3343.2,5.6969
1,2,100,1,1,1000,174.76,100.62
1,100,10,1,1,100,9395.8,110.38
1,100,10,6,6,10,14758.0,70.796
1,1000,1,2,12,100,20579.0,505.82
1,1000,1,3,12,10,15225.0,655.6
1,1000,1,6,12,1000,18311.0,506.64
1,1000,2,2,6,1000,18021.0,593.68
1,1000,10,2,12,10,20045.0,574.9
1,1000,100,1,6,1000,15491.0,705.55
1,1000,100,2,12,100,20259.0,530.12
1,10000,1,2,6,10,29862.0,4050.5
1,10000,100,3,1,10,4272.9,21247.0
1,10000,100,6,12,1000,26571.0,3600.4
3,1,1,3,12,10,6328.6,4.4697
3,1,2,1,1,1000,5481.5,5.7238
3,1,2,1,3,1000,5454.2,5.669
3,1,3,2,3,100,5310.1,5.6516
3,2,2,2,3,1000,9183.6,6.7809
3,2,3,6,3,10,9458.0,6.4182
3,2,3,6,6,100,8707.1,6.9804
3,2,10,2,3,1000,5230.4,11.161
3,10,10,2,3,10,16637.0,19.291
3,100,3,2,6,100,14523.0,242.43
3,1000,2,1,6,10,16396.0,2706.7
3,1000,2,6,6,100,25884.0,1765.3
3,1000,3,2,6,10,24206.0,1521.4
3,1000,3,6,6,1000,29139.0,1474.7
3,1000,10,3,1,100,3449.5,12635.0
3,10000,100,1,1,100,7773.0,40931.0
