1,1,10,13055.0,247.74
1,3,6,14644.0,240.27
2,5,18,19959.0,183.08
2,6,5,15850.0,234.81
4,1,4,12029.0,276.04
4,5,13,19578.0,194.42
5,4,5,15775.0,205.4
6,2,5,15739.0,220.35
6,4,16,20350.0,184.46
6,6,5,16197.0,223.22
6,6,10,19108.0,179.76
7,1,1,8941.5,376.93
7,1,9,14009.0,225.28
7,1,16,14295.0,229.42
7,3,11,18362.0,178.51
7,4,15,20288.0,160.6
7,4,16,19656.0,172.61
7,4,18,21293.0,172.79
7,5,15,20839.0,164.74
7,6,15,21385.0,186.39
7,6,17,22171.0,171.01
8,1,18,13997.0,228.11
8,3,15,20591.0,170.97
8,4,16,19698.0,177.73
8,5,15,20649.0,177.56
8,6,17,22887.0,172.74
8,6,18,22323.0,173.09
9,3,9,18594.0,175.62
9,4,15,20460.0,187.65
10,4,16,20584.0,198.8
100,1,15,15287.0,213.8
100,1,18,14237.0,226.72
100,6,6,17404.0,176.71
10000,3,6,586.88,6634.3
