$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
-1,0,1,0,2,2,1,2,-1,0,2,2,3,3,-1,1,-1,0,3,2,2,0,-1,0,2,3,3,3,3,2,-1,-1,1,-1,3,3,0,1,1,1,1,1,1,2,2,3,0,0,-1,-1,96156.0,533,99423.0
-1,0,1,2,0,3,3,0,-1,2,0,2,1,3,2,3,2,1,-1,1,-1,3,3,0,-1,-1,-1,0,2,1,1,-1,0,3,-1,-1,0,-1,2,3,-1,-1,2,3,2,-1,1,2,1,-1,96502.0,481,99495.0
2,1,2,1,1,-1,0,3,2,3,0,3,-1,0,1,1,1,3,2,2,3,-1,0,-1,2,0,0,3,2,1,3,1,0,1,-1,-1,0,-1,-1,3,0,2,-1,0,1,-1,0,2,3,3,95976.0,558,99432.0
3,1,-1,2,-1,3,2,1,3,3,1,1,-1,2,-1,-1,-1,2,0,-1,0,0,-1,1,1,-1,0,2,-1,3,-1,3,-1,3,2,1,0,0,-1,0,2,0,1,-1,-1,2,1,1,-1,2,96723.0,459,99532.0
3,-1,0,0,2,2,3,2,1,-1,1,0,-1,1,-1,-1,2,0,0,-1,2,2,1,1,3,0,1,-1,-1,1,2,2,1,-1,1,3,2,-1,-1,0,0,0,0,2,-1,-1,3,-1,-1,1,96403.0,469,99485.0
2,0,3,3,2,0,1,2,-1,-1,0,2,1,1,0,0,0,2,3,-1,2,0,0,2,1,1,3,2,-1,3,-1,2,-1,-1,0,3,-1,0,3,1,2,3,1,2,3,3,1,2,3,1,95888.0,557,99395.0
1,2,-1,-1,1,2,2,0,0,2,3,-1,-1,3,0,-1,2,0,2,3,3,0,-1,2,3,3,3,0,3,-1,-1,1,3,1,1,-1,0,2,1,1,1,2,0,-1,2,0,0,0,1,2,96131.0,548,99434.0
2,0,0,1,0,0,1,1,2,0,3,3,3,1,1,2,-1,-1,2,1,1,-1,3,2,3,0,3,1,0,3,0,2,2,-1,2,-1,3,1,-1,1,2,-1,2,3,-1,2,-1,0,3,0,96004.0,554,99409.0
1,3,1,0,2,2,2,0,-1,-1,1,-1,0,2,2,-1,0,2,1,-1,3,0,0,1,0,3,2,-1,3,2,0,3,0,1,2,-1,3,3,-1,2,3,1,-1,-1,0,-1,0,3,-1,2,96173.0,510,99451.0
1,0,-1,-1,3,2,2,0,1,3,1,3,0,2,1,2,2,-1,1,1,2,-1,0,0,3,3,0,0,-1,3,0,0,1,3,-1,-1,3,1,3,3,1,2,3,2,0,2,0,2,0,-1,95779.0,571,99401.0
2,-1,1,0,1,0,3,2,3,2,1,0,0,0,3,-1,0,-1,-1,-1,1,2,2,0,3,0,1,1,1,1,3,1,-1,-1,0,1,-1,1,0,2,0,2,-1,2,0,2,2,3,3,-1,95711.0,539,99413.0
1,2,-1,3,3,1,-1,1,-1,3,2,2,0,3,0,-1,1,2,3,0,0,0,0,3,2,3,1,1,2,-1,1,0,1,2,3,-1,3,2,0,1,3,2,1,0,2,3,1,-1,-1,0,95970.0,565,99403.0
3,-1,0,3,-1,0,2,2,0,3,3,0,2,0,0,2,0,2,3,1,1,0,-1,2,-1,2,2,1,-1,2,1,1,3,1,1,2,1,-1,2,-1,2,1,-1,0,0,3,0,3,3,1,95778.0,571,99403.0
1,-1,1,1,0,2,3,-1,2,3,0,2,-1,1,3,-1,-1,-1,-1,3,0,3,0,0,1,1,1,3,2,0,2,1,1,0,0,-1,0,2,2,2,2,-1,3,3,3,0,0,1,1,2,95837.0,553,99413.0
0,2,-1,0,2,-1,-1,1,3,3,0,0,-1,1,0,2,1,2,0,-1,2,0,-1,2,-1,3,1,2,3,1,-1,1,-1,1,0,1,-1,1,3,2,2,0,3,1,2,1,0,0,-1,2,95977.0,528,99453.0
1,3,1,0,0,2,2,0,1,3,1,1,3,1,0,3,2,1,-1,-1,-1,2,-1,-1,-1,-1,3,0,0,2,0,0,2,0,1,2,3,3,3,2,2,3,1,-1,3,1,0,3,1,0,95858.0,570,99400.0
-1,3,3,0,3,0,2,2,3,1,2,-1,2,3,3,3,2,3,2,0,1,3,3,-1,1,1,2,1,-1,2,-1,2,1,-1,2,1,0,1,0,0,2,1,0,-1,2,0,-1,-1,0,1,96155.0,565,99413.0
0,0,2,2,1,0,3,0,3,-1,2,1,2,1,2,1,1,0,-1,2,0,3,3,-1,1,2,2,3,-1,3,0,-1,2,2,1,-1,0,1,1,1,1,0,3,-1,0,3,3,-1,3,3,95823.0,566,99394.0
3,2,3,2,1,1,0,1,3,0,1,2,0,0,3,3,-1,3,1,-1,1,2,-1,-1,0,-1,1,0,0,1,-1,2,-1,0,2,2,1,3,-1,-1,0,2,1,2,-1,2,3,3,0,1,95954.0,549,99422.0
-1,2,0,1,1,3,-1,0,0,1,2,3,-1,-1,0,0,0,1,-1,-1,-1,2,1,-1,-1,0,1,3,3,1,1,0,2,0,0,2,-1,3,1,3,-1,1,-1,2,2,2,0,3,1,3,95897.0,523,99458.0
-1,1,3,-1,2,2,-1,0,1,1,0,-1,0,2,0,3,0,3,1,3,0,2,0,1,1,3,1,-1,2,3,2,2,2,0,1,1,-1,-1,3,-1,1,2,2,0,1,-1,-1,3,-1,-1,95895.0,520,99438.0
