$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
1,2,0,0,3,-1,2,0,0,2,1,-1,0,1,0,0,1,-1,0,-1,2,0,1,-1,2,-1,1,2,3,2,0,3,3,2,0,2,2,1,-1,2,1,2,1,0,2,1,1,0,0,3,93261.0,594,99450.0
-1,-1,-1,2,0,-1,0,2,0,0,3,3,0,3,0,0,2,3,2,2,-1,0,-1,0,-1,-1,1,3,0,2,-1,2,1,2,0,0,-1,1,1,0,3,-1,3,3,0,-1,1,1,2,2,93988.0,535,99504.0
0,1,-1,3,1,3,-1,0,2,1,1,3,0,1,-1,2,1,2,3,2,2,3,2,0,3,2,3,1,0,0,-1,1,2,2,2,-1,0,3,3,0,1,0,1,3,1,0,-1,0,2,2,93515.0,621,99447.0
2,2,0,-1,3,0,-1,1,2,0,-1,2,1,2,2,0,1,-1,1,3,2,2,1,-1,1,-1,0,2,2,1,1,0,1,1,3,-1,3,-1,0,2,3,0,1,0,0,2,2,0,0,1,93483.0,588,99465.0
1,3,0,3,3,2,2,3,2,0,0,0,2,-1,1,-1,2,0,0,3,1,0,-1,-1,1,3,1,2,3,3,-1,1,1,1,3,0,1,0,0,3,2,-1,-1,2,2,0,0,3,-1,2,93722.0,597,99454.0
0,0,2,3,-1,-1,-1,2,0,3,1,-1,1,0,2,3,0,2,2,-1,2,-1,3,0,2,2,3,-1,-1,1,0,1,-1,2,3,0,0,0,1,-1,2,2,1,1,3,-1,3,1,0,3,94368.0,542,99522.0
-1,0,2,1,0,1,2,0,0,1,0,0,-1,3,3,1,0,2,2,3,2,3,2,1,0,-1,1,0,2,3,2,1,2,2,2,1,1,0,0,2,0,2,3,1,1,1,0,3,2,1,92661.0,656,99401.0
3,1,-1,1,1,2,2,0,-1,1,2,3,3,0,2,3,0,3,3,1,2,1,1,2,3,2,-1,1,3,2,3,2,1,3,0,1,0,2,1,2,1,-1,2,3,0,0,0,-1,0,3,93484.0,635,99424.0
3,3,1,0,1,2,1,0,0,1,2,0,3,-1,2,-1,-1,2,3,0,2,-1,3,3,0,2,0,0,2,3,1,1,1,2,3,3,-1,-1,-1,0,2,3,1,2,2,1,2,-1,2,1,93865.0,575,99457.0
2,-1,0,-1,1,1,3,0,1,3,1,1,3,-1,-1,-1,2,0,1,2,0,2,3,0,1,2,0,-1,3,3,0,1,1,1,2,3,1,2,2,1,-1,1,2,3,-1,2,2,-1,0,2,94225.0,576,99482.0
1,2,1,-1,2,2,2,1,0,0,-1,2,0,2,1,0,3,1,2,0,3,0,1,2,-1,1,0,2,0,0,3,1,3,2,2,1,3,3,1,2,0,1,0,2,0,-1,3,0,1,1,92869.0,638,99420.0
0,2,2,1,0,0,-1,1,-1,3,0,3,0,-1,-1,1,3,2,2,-1,-1,1,2,-1,2,0,2,2,1,2,2,2,1,0,0,1,0,2,1,1,2,3,-1,0,0,2,1,-1,2,0,93469.0,576,99476.0
2,3,-1,3,3,1,1,-1,2,-1,-1,0,3,2,1,-1,3,2,2,1,0,1,3,2,2,-1,1,0,1,-1,2,1,-1,0,-1,0,0,0,0,2,1,1,2,2,0,0,3,0,-1,1,93878.0,561,99496.0
3,1,2,2,2,1,-1,1,3,0,-1,2,2,1,2,3,1,0,3,3,3,1,-1,3,0,2,0,2,3,2,0,0,2,0,0,0,1,2,3,1,2,1,1,0,0,0,-1,-1,0,2,93249.0,635,99434.0
2,3,1,1,-1,1,3,3,2,0,0,2,2,0,-1,0,0,3,1,0,1,2,-1,0,3,2,2,-1,3,0,1,-1,0,1,3,2,0,1,1,2,-1,-1,1,1,2,2,0,0,2,2,93636.0,608,99466.0
3,1,3,-1,0,-1,3,1,3,3,-1,2,1,2,2,2,-1,1,2,-1,3,0,2,2,2,1,3,0,0,-1,0,3,0,0,1,2,2,1,-1,3,2,0,0,1,-1,1,3,1,0,0,93828.0,569,99478.0
-1,1,0,3,3,3,-1,1,0,-1,1,0,1,0,1,0,-1,0,-1,3,1,2,0,1,0,-1,-1,1,0,0,-1,2,3,2,-1,1,-1,1,-1,0,3,2,-1,1,-1,-1,1,2,3,-1,94303.0,483,99545.0
-1,-1,-1,0,1,-1,2,0,-1,1,1,-1,2,-1,2,1,1,1,-1,-1,1,2,1,2,1,2,2,0,0,1,1,0,-1,0,-1,0,2,0,2,1,0,0,2,3,0,1,-1,0,0,2,93618.0,534,99522.0
3,-1,2,0,0,2,1,0,3,3,2,-1,1,1,0,0,3,1,1,-1,0,2,3,0,3,-1,2,3,0,-1,-1,3,-1,-1,-1,3,2,2,0,2,1,1,2,-1,0,3,3,1,0,3,94564.0,562,99510.0
3,1,2,0,0,-1,-1,3,2,-1,0,3,-1,1,1,2,1,2,1,1,2,1,1,-1,2,3,1,1,1,0,2,2,1,0,0,2,3,0,2,3,3,0,2,0,2,-1,2,0,3,0,93294.0,617,99442.0
2,0,1,-1,3,2,2,3,3,0,3,3,1,-1,2,0,-1,0,2,2,1,2,1,0,2,2,0,0,1,1,0,0,2,2,0,3,-1,2,2,0,0,0,1,1,1,3,2,3,0,3,93065.0,629,99413.0
2,-1,1,1,2,1,2,0,-1,1,-1,1,1,-1,-1,-1,3,3,3,1,1,3,0,2,2,0,2,0,2,1,0,3,-1,2,2,-1,0,1,0,0,-1,3,3,3,1,0,2,1,1,2,94004.0,576,99490.0
3,3,2,3,2,0,2,3,-1,1,3,2,-1,-1,-1,3,2,2,0,2,1,0,1,1,0,2,1,0,0,0,-1,2,2,1,2,1,0,-1,2,3,2,0,3,0,1,3,-1,0,1,1,93632.0,613,99461.0
3,0,2,3,3,2,2,0,0,0,-1,2,0,1,0,0,-1,3,2,0,2,3,2,3,0,0,-1,2,1,-1,2,3,-1,1,1,0,0,0,1,2,2,2,0,-1,-1,2,2,2,1,1,93422.0,600,99463.0
3,0,2,-1,1,2,2,-1,1,1,2,3,-1,1,0,0,2,0,1,2,1,1,3,1,3,3,-1,0,0,-1,2,3,1,3,2,3,0,-1,1,2,1,2,1,-1,0,2,1,2,0,3,93775.0,600,99460.0
1,-1,1,2,-1,1,0,-1,-1,0,1,0,3,2,0,3,2,3,0,2,-1,1,1,0,2,3,0,1,1,0,1,0,0,2,-1,1,1,1,-1,0,1,2,2,2,3,0,0,2,0,3,93138.0,588,99461.0
2,3,0,-1,2,0,1,3,-1,0,2,2,1,0,1,3,2,2,1,0,0,2,0,1,3,3,0,3,2,1,1,2,3,1,3,0,3,0,2,0,1,-1,1,-1,-1,2,1,1,-1,1,93526.0,615,99450.0
2,0,2,0,2,-1,-1,0,1,0,1,1,2,-1,3,1,0,2,3,2,2,1,1,1,1,3,3,1,3,3,0,1,1,1,-1,2,2,-1,2,0,3,3,3,1,0,3,1,2,2,0,93393.0,624,99431.0
0,1,-1,-1,-1,1,1,1,1,2,3,2,3,2,2,3,0,-1,2,1,3,1,3,0,2,1,1,2,2,2,0,-1,2,-1,1,2,0,2,1,-1,0,-1,3,1,3,-1,1,0,-1,0,94065.0,549,99489.0
1,-1,0,3,1,1,1,3,1,1,2,-1,2,0,3,3,0,1,0,2,2,-1,0,0,0,2,1,1,0,1,1,1,-1,0,2,3,1,0,-1,2,2,1,2,0,2,2,3,3,3,-1,93542.0,608,99458.0
3,-1,1,2,2,-1,2,2,3,2,1,3,3,1,3,0,-1,3,2,2,2,0,1,3,1,-1,1,2,0,0,1,0,0,3,0,1,1,3,0,3,2,0,1,3,3,0,0,0,0,1,93061.0,638,99416.0
0,0,3,2,2,1,0,2,0,2,1,1,1,3,0,2,3,0,3,0,2,0,2,3,2,1,3,-1,3,3,3,1,2,-1,2,1,2,2,3,1,1,0,1,1,-1,0,-1,1,1,-1,93489.0,624,99442.0
