232000.0,1213.6
225000.0,1041.0
213000.0,1001.3
210000.0,997.2
203000.0,981.1
201000.0,961.5
179000.0,378.84
171000.0,377.17
169000.0,371.02
166000.0,370.02
165000.0,344.83
151000.0,324.74
145000.0,310.09
142000.0,191.95
141000.0,177.87
138000.0,175.02
136000.0,174.24
135000.0,170.85
131000.0,168.78
85162.0,90.695
80826.0,87.357
79579.0,86.746
78978.0,84.172
77268.0,84.14
76598.0,80.993
49325.0,17.546
41402.0,16.875
38515.0,2.0567
38504.0,2.0226
38269.0,2.0
38129.0,1.9659
37902.0,1.928
37562.0,1.9218
37536.0,1.9
